product_id,type,region,air_temp_c,process_temp_c,torque,tool_wear,tool_wear_ratio,power_watts,target,failure_type,risk_flag
L56851,L,Asia-Pacific,25.85,37.05,44.1,246,0.9723,6520.82,0,"No Failure",Critical
L50043,L,Asia-Pacific,27.45,36.25,44.1,244,0.9644,6793.29,0,"No Failure",Critical
L56850,L,Asia-Pacific,25.85,37.05,30.7,244,0.9644,5433.18,0,"No Failure",Critical
L52578,L,Asia-Pacific,29.75,39.25,23.9,244,0.9644,4744.06,0,"No Failure",Critical
L56849,L,Asia-Pacific,25.95,37.15,31.1,242,0.9565,5272.73,0,"No Failure",Critical
L50042,L,Asia-Pacific,27.45,36.35,23,242,0.9565,4496.77,0,"No Failure",Critical
M20257,M,Europe,29.65,39.15,42.7,241,0.9526,6331.69,0,"No Failure",Critical
L50041,L,Asia-Pacific,27.55,36.35,43.6,240,0.9486,6752.79,0,"No Failure",Critical
L56848,L,Asia-Pacific,25.95,37.15,35.2,240,0.9486,5967.85,0,"No Failure",Critical
H30006,H,"North americ",24.35,36.35,27.9,240,0.9486,4873.36,0,"No Failure",Critical
L52576,L,Asia-Pacific,29.65,39.25,39.7,239,0.9447,6331.68,0,"No Failure",Critical
L47941,L,Asia-Pacific,23.55,34.65,34.6,238,0.9407,5963.96,0,"No Failure",Critical
L52575,L,Asia-Pacific,29.65,39.25,36.8,237,0.9368,5892.29,0,"No Failure",Critical
L47940,L,Asia-Pacific,23.55,34.65,39.4,236,0.9328,6209.57,0,"No Failure",Critical
H32274,H,"North americ",27.45,36.25,49.2,235,0.9289,7537.69,0,"No Failure",Critical
H30005,H,"North americ",24.35,36.15,41.7,235,0.9289,6659.39,0,"No Failure",Critical
M24526,M,Europe,25.95,37.15,24,235,0.9289,4619.4,0,"No Failure",Critical
L50039,L,Asia-Pacific,27.45,36.25,43.4,233,0.9209,7039.95,0,"No Failure",Critical
L47770,L,Asia-Pacific,24.35,36.25,36.7,233,0.9209,5830.16,0,"No Failure",Critical
M15619,M,Europe,23.55,34.65,36.3,233,0.9209,5842.64,0,"No Failure",Critical
L56845,L,Asia-Pacific,26.05,37.15,33.3,233,0.9209,5614.34,0,"No Failure",Critical
L51213,L,Asia-Pacific,28.95,37.65,27.1,233,0.9209,5028.77,0,"No Failure",Critical
L52573,L,Asia-Pacific,29.65,39.15,42.6,232,0.917,6571.14,0,"No Failure",Critical
L51825,L,Asia-Pacific,30.15,38.25,25.6,232,0.917,4643.19,0,"No Failure",Critical
L51564,L,Asia-Pacific,28.65,36.45,42.7,231,0.913,6452.42,0,"No Failure",Critical
L47938,L,Asia-Pacific,23.65,34.85,41.7,231,0.913,6537.12,0,"No Failure",Critical
L47769,L,Asia-Pacific,24.45,36.25,40.2,231,0.913,6276.71,0,"No Failure",Critical
M20858,M,Europe,27.25,37.05,36.9,231,0.913,6232.89,0,"No Failure",Critical
L51824,L,Asia-Pacific,30.05,38.25,41.2,230,0.9091,6532.08,0,"No Failure",Critical
L52572,L,Asia-Pacific,29.65,39.05,40.2,230,0.9091,6234.62,0,"No Failure",Critical
L48516,L,Asia-Pacific,25.75,37.15,32.6,230,0.9091,5404.15,0,"No Failure",Critical
L51211,L,Asia-Pacific,28.85,37.65,42.7,229,0.9051,6470.31,0,"No Failure",Critical
H30587,H,"North americ",23.95,34.85,38.8,229,0.9051,6334.41,0,"No Failure",Critical
M22546,M,Europe,27.55,38.55,36.9,229,0.9051,5811.7,0,"No Failure",Critical
L47937,L,Asia-Pacific,23.75,34.95,33.7,229,0.9051,5487.68,0,"No Failure",Critical
L47768,L,Asia-Pacific,24.45,36.25,33.4,229,0.9051,5694.16,0,"No Failure",Critical
M17717,M,Europe,27.25,36.05,37.2,228,0.9012,5952.44,0,"No Failure",Critical
M20857,M,Europe,27.35,37.05,34.6,228,0.9012,5692.21,0,"No Failure",Critical
L52571,L,Asia-Pacific,29.55,39.05,34.4,228,0.9012,5662.91,0,"No Failure",Critical
L54865,L,Asia-Pacific,27.65,38.55,43.5,227,0.8972,6363.77,0,"No Failure",Critical
L51915,L,Asia-Pacific,30.05,38.35,42.5,227,0.8972,6871.71,0,"No Failure",Critical
L47936,L,Asia-Pacific,23.65,34.85,40.4,227,0.8972,6701.39,0,"No Failure",Critical
L51562,L,Asia-Pacific,28.65,36.35,39.6,227,0.8972,6324.03,0,"No Failure",Critical
L48352,L,Asia-Pacific,23.95,34.95,36.6,227,0.8972,5542.15,0,"No Failure",Critical
L51210,L,Asia-Pacific,28.85,37.65,17.3,227,0.8972,3433.99,0,"No Failure",Critical
M24356,M,Europe,26.05,36.85,50.4,226,0.8933,7119.85,0,"No Failure",Critical
L55208,L,Asia-Pacific,27.45,38.65,44.8,226,0.8933,7041.86,0,"No Failure",Critical
M24522,M,Europe,25.95,36.95,30.9,226,0.8933,5080.27,0,"No Failure",Critical
L52082,L,Asia-Pacific,30.45,39.15,29.3,226,0.8933,4958.35,0,"No Failure",Critical
M20856,M,Europe,27.35,37.05,48.2,225,0.8893,6995.82,0,"No Failure",Critical
L51561,L,Asia-Pacific,28.75,36.45,43.2,225,0.8893,6541.55,0,"No Failure",Critical
M17361,M,Europe,25.95,35.75,42.7,225,0.8893,6599.98,0,"No Failure",Critical
L53351,L,Asia-Pacific,27.65,37.45,42.2,225,0.8893,6257.55,0,"No Failure",Critical
L51914,L,Asia-Pacific,30.05,38.35,39.2,225,0.8893,6186.26,0,"No Failure",Critical
M18724,M,Europe,29.35,38.25,31.7,225,0.8893,5407.65,0,"No Failure",Critical
L55207,L,Asia-Pacific,27.45,38.75,44.9,224,0.8854,6700.23,0,"No Failure",Critical
L49514,L,Asia-Pacific,26.05,35.25,43.5,224,0.8854,6582.42,0,"No Failure",Critical
M22544,M,Europe,27.55,38.65,42.4,224,0.8854,6247.25,0,"No Failure",Critical
L53857,L,Asia-Pacific,28.35,37.55,38.5,224,0.8854,5785.5,0,"No Failure",Critical
H30001,H,"North americ",24.45,36.35,33.1,224,0.8854,5625.68,0,"No Failure",Critical
L51560,L,Asia-Pacific,28.75,36.45,49,223,0.8814,7235.09,0,"No Failure",Critical
L49345,L,Asia-Pacific,26.35,35.95,47.8,223,0.8814,7388.27,0,"No Failure",Critical
H34804,H,"North americ",29.65,39.15,47.2,223,0.8814,7330.13,0,"No Failure",Critical
H32270,H,"North americ",27.35,36.15,45.2,223,0.8814,6962.73,0,"No Failure",Critical
L51913,L,Asia-Pacific,30.15,38.45,44.6,223,0.8814,6931.02,0,"No Failure",Critical
L55119,L,Asia-Pacific,27.65,38.65,43.4,223,0.8814,6440.03,0,"No Failure",Critical
L48432,L,Asia-Pacific,24.35,35.65,41.5,223,0.8814,6662.22,0,"No Failure",Critical
M20686,M,Europe,28.15,37.95,41.2,223,0.8814,6437.17,0,"No Failure",Critical
M16193,M,Europe,25.85,37.15,35.4,223,0.8814,5775.63,0,"No Failure",Critical
M19761,M,Europe,30.45,39.15,32.4,223,0.8814,5530.46,0,"No Failure",Critical
L49680,L,Asia-Pacific,25.95,35.75,32.3,223,0.8814,5469.42,0,"No Failure",Critical
L51043,L,Asia-Pacific,29.35,38.25,27,223,0.8814,4733.12,0,"No Failure",Critical
L53175,L,Asia-Pacific,27.45,37.15,22.3,223,0.8814,4426.47,0,"No Failure",Critical
M23058,M,Europe,26.15,37.55,48.9,222,0.8775,7035.97,0,"No Failure",Critical
L49513,L,Asia-Pacific,26.05,35.35,45.2,222,0.8775,6839.67,0,"No Failure",Critical
L53856,L,Asia-Pacific,28.35,37.55,44,222,0.8775,6556.71,0,"No Failure",Critical
H30169,H,"North americ",23.65,34.95,43.7,222,0.8775,6827.77,0,"No Failure",Critical
L54863,L,Asia-Pacific,27.55,38.55,43.5,222,0.8775,6942.29,0,"No Failure",Critical
L50630,L,Asia-Pacific,28.45,37.45,43.4,222,0.8775,6844.53,0,"No Failure",Critical
H30585,H,"North americ",23.85,34.95,41.4,222,0.8775,6576.8,0,"No Failure",Critical
H33443,H,"North americ",28.85,37.75,29,222,0.8775,5098.91,0,"No Failure",Critical
M16541,M,Europe,24.65,34.15,26,222,0.8775,4911.78,0,"No Failure",Critical
L52569,L,Asia-Pacific,29.65,39.15,49.1,221,0.8735,7023.62,0,"No Failure",Critical
H39075,H,"North americ",25.85,36.85,44.9,221,0.8735,6855.39,0,"No Failure",Critical
H38909,H,"North americ",26.15,36.85,44.8,221,0.8735,6441.35,0,"No Failure",Critical
L47682,L,Asia-Pacific,24.45,36.05,43.3,221,0.8735,6302.77,0,"No Failure",Critical
H34055,H,"North americ",29.95,38.15,42.7,221,0.8735,6680.47,0,"No Failure",Critical
L53005,L,Asia-Pacific,28.15,37.95,42,221,0.8735,6214.7,0,"No Failure",Critical
L52080,L,Asia-Pacific,30.45,39.25,41.9,221,0.8735,6090.21,0,"No Failure",Critical
M18052,M,Europe,26.95,36.05,39.8,221,0.8735,5910.01,0,"No Failure",Critical
L53174,L,Asia-Pacific,27.45,37.25,39.2,221,0.8735,6600.86,0,"No Failure",Critical
L51912,L,Asia-Pacific,30.15,38.55,38.5,221,0.8735,6204.8,0,"No Failure",Critical
L50035,L,Asia-Pacific,27.35,36.15,37,221,0.8735,5920.44,0,"No Failure",Critical
L49344,L,Asia-Pacific,26.45,36.05,36.7,221,0.8735,5918.55,0,"No Failure",Critical
H37697,H,"North americ",25.75,37.45,33,221,0.8735,5581.04,0,"No Failure",Critical
L55118,L,Asia-Pacific,27.65,38.55,31.3,221,0.8735,5509.86,0,"No Failure",Critical
M22115,M,Europe,27.05,37.15,29.4,221,0.8735,5246.21,0,"No Failure",Critical
L48512,L,Asia-Pacific,25.85,37.15,24,221,0.8735,4694.8,0,"No Failure",Critical
M17886,M,Europe,27.25,36.35,21.9,221,0.8735,4329.87,0,"No Failure",Critical
M16111,M,Europe,24.25,35.65,48.7,220,0.8696,6930.7,0,"No Failure",Critical
M17359,M,Europe,25.95,35.75,48.4,220,0.8696,6715.68,0,"No Failure",Critical
L51208,L,Asia-Pacific,28.85,37.75,43.2,220,0.8696,6582.26,0,"No Failure",Critical
H35584,H,"North americ",27.65,37.35,40.1,220,0.8696,6546.65,0,"No Failure",Critical
L50629,L,Asia-Pacific,28.55,37.55,33.3,220,0.8696,5596.9,0,"No Failure",Critical
M19239,M,Europe,28.65,36.35,30.1,220,0.8696,5459.38,0,"No Failure",Critical
L53855,L,Asia-Pacific,28.35,37.45,28,220,0.8696,4629.87,0,"No Failure",Critical
L47765,L,Asia-Pacific,24.45,36.35,20.5,220,0.8696,4069.17,0,"No Failure",Critical
