product_id,type,region,failure_type,current_wear,prev_failure_wear,next_failure_wear,wear_gap_since_last_failure,wear_gap_to_next_failure
H33979,H,"North americ","Heat Dissipation Failure",25,20,40,5,15
H30851,H,"North americ","No Failure",40,25,66,15,26
H34175,H,"North americ","Heat Dissipation Failure",66,40,81,26,15
H32554,H,"North americ","Power Failure",81,66,100,15,19
H30537,H,"North americ","Power Failure",100,81,101,19,1
H33665,H,"North americ","Heat Dissipation Failure",101,100,101,1,0
H33492,H,"North americ","Heat Dissipation Failure",101,101,112,0,11
H34192,H,"North americ","Heat Dissipation Failure",112,101,130,11,18
H33243,H,"North americ","Heat Dissipation Failure",130,112,147,18,17
H33769,H,"North americ","Heat Dissipation Failure",147,130,159,17,12
H32414,H,"North americ","Power Failure",159,147,161,12,2
H34462,H,"North americ","Power Failure",161,159,206,2,45
H30501,H,"North americ","Tool Wear Failure",206,161,208,45,2
H35323,H,"North americ","Power Failure",208,206,210,2,2
H35754,H,"North americ","Tool Wear Failure",210,208,210,2,0
H35833,H,"North americ","Tool Wear Failure",210,210,225,0,15
H31096,H,"North americ","Tool Wear Failure",225,210,228,15,3
H33279,H,"North americ","Tool Wear Failure",228,225,246,3,18
H32278,H,"North americ","Tool Wear Failure",246,228,246,18,0
H34813,H,"North americ","Overstrain Failure",246,246,NULL,0,NULL
L56355,L,Asia-Pacific,"Power Failure",0,0,3,0,3
L54943,L,Asia-Pacific,"Power Failure",3,0,5,3,2
L52168,L,Asia-Pacific,"Power Failure",5,3,8,2,3
L51919,L,Asia-Pacific,"Heat Dissipation Failure",8,5,8,3,0
L51391,L,Asia-Pacific,"Heat Dissipation Failure",8,8,9,0,1
L51831,L,Asia-Pacific,"Heat Dissipation Failure",9,8,10,1,1
L53358,L,Asia-Pacific,"Power Failure",10,9,10,1,0
L51655,L,Asia-Pacific,"Heat Dissipation Failure",10,10,11,0,1
L51738,L,Asia-Pacific,"Heat Dissipation Failure",11,10,12,1,1
L56944,L,Asia-Pacific,"Power Failure",12,11,15,1,3
L50549,L,Asia-Pacific,"Power Failure",15,12,17,3,2
L54191,L,Asia-Pacific,"Power Failure",17,15,18,2,1
L48275,L,Asia-Pacific,"Power Failure",18,17,18,1,0
L54112,L,Asia-Pacific,"Power Failure",18,18,20,0,2
L49778,L,Asia-Pacific,"Power Failure",20,18,20,2,0
L51487,L,Asia-Pacific,"Heat Dissipation Failure",20,20,20,0,0
L47348,L,Asia-Pacific,"Power Failure",20,20,22,0,2
L51310,L,Asia-Pacific,"Heat Dissipation Failure",22,20,22,2,0
L50967,L,Asia-Pacific,"Heat Dissipation Failure",22,22,29,0,7
L51928,L,Asia-Pacific,"Heat Dissipation Failure",29,22,30,7,1
L52011,L,Asia-Pacific,"Heat Dissipation Failure",30,29,31,1,1
L51228,L,Asia-Pacific,"Power Failure",31,30,31,1,0
L47783,L,Asia-Pacific,"Power Failure",31,31,32,0,1
L51841,L,Asia-Pacific,"Heat Dissipation Failure",32,31,34,1,2
L52013,L,Asia-Pacific,"Heat Dissipation Failure",34,32,34,2,0
L50973,L,Asia-Pacific,"Heat Dissipation Failure",34,34,36,0,2
L51580,L,Asia-Pacific,"Heat Dissipation Failure",36,34,40,2,4
L51318,L,Asia-Pacific,"Heat Dissipation Failure",40,36,40,4,0
L51750,L,Asia-Pacific,"Heat Dissipation Failure",40,40,41,0,1
L51405,L,Asia-Pacific,"Heat Dissipation Failure",41,40,42,1,1
L49195,L,Asia-Pacific,"Power Failure",42,41,42,1,0
L52016,L,Asia-Pacific,"Heat Dissipation Failure",42,42,47,0,5
L51320,L,Asia-Pacific,"Heat Dissipation Failure",47,42,49,5,2
L53705,L,Asia-Pacific,"Power Failure",49,47,51,2,2
L51935,L,Asia-Pacific,"Heat Dissipation Failure",51,49,52,2,1
L52100,L,Asia-Pacific,"Power Failure",52,51,53,1,1
L51585,L,Asia-Pacific,"Heat Dissipation Failure",53,52,55,1,2
L51586,L,Asia-Pacific,"Heat Dissipation Failure",55,53,57,2,2
L48964,L,Asia-Pacific,"Power Failure",57,55,59,2,2
L52020,L,Asia-Pacific,"Heat Dissipation Failure",59,57,61,2,2
L47622,L,Asia-Pacific,"Power Failure",61,59,62,2,1
L51939,L,Asia-Pacific,"Heat Dissipation Failure",62,61,62,1,0
L54460,L,Asia-Pacific,"Power Failure",62,62,64,0,2
L51503,L,Asia-Pacific,"Heat Dissipation Failure",64,62,64,2,0
L54716,L,Asia-Pacific,"Power Failure",64,64,65,0,1
L51759,L,Asia-Pacific,"Heat Dissipation Failure",65,64,66,1,1
