product_id,type,air_temp_k,process_temp_k,rotational_speed,torque,tool_wear,target,failure_type,temp_delta,power_watts,tool_wear_ratio,air_temp_c,process_temp_c,region
M14860,M,298.1,308.6,1551.0,42.8,0,0,No Failure,10.5,6951.590560157351,0.0,24.950000000000045,35.450000000000045,Europe
L47181,L,298.2,308.7,1408.0,46.3,3,0,No Failure,10.5,6826.722724152667,0.011857707509881422,25.05000000000001,35.55000000000001,Asia-Pacific
L47182,L,298.1,308.5,1498.0,49.4,5,0,No Failure,10.399999999999977,7749.387542560967,0.019762845849802372,24.950000000000045,35.35000000000002,Asia-Pacific
L47183,L,298.2,308.6,1433.0,39.5,7,0,No Failure,10.400000000000034,5927.504658915661,0.02766798418972332,25.05000000000001,35.450000000000045,Asia-Pacific
L47184,L,298.2,308.7,1408.0,40.0,9,0,No Failure,10.5,5897.816608339237,0.03557312252964427,25.05000000000001,35.55000000000001,Asia-Pacific
M14865,M,298.1,308.6,1425.0,41.9,11,0,No Failure,10.5,6252.554778807084,0.043478260869565216,24.950000000000045,35.450000000000045,Europe
L47186,L,298.1,308.6,1558.0,42.4,14,0,No Failure,10.5,6917.703247400629,0.05533596837944664,24.950000000000045,35.450000000000045,Asia-Pacific
L47187,L,298.1,308.6,1527.0,40.2,16,0,No Failure,10.5,6428.264055922363,0.06324110671936758,24.950000000000045,35.450000000000045,Asia-Pacific
M14868,M,298.3,308.7,1667.0,28.6,18,0,No Failure,10.399999999999977,4992.639989035923,0.07114624505928854,25.150000000000034,35.55000000000001,Europe
M14869,M,298.5,309.0,1741.0,28.0,21,0,No Failure,10.5,5104.878622573175,0.08300395256916997,25.350000000000023,35.85000000000002,Europe
H29424,H,298.4,308.9,1782.0,23.9,24,0,No Failure,10.5,4459.993426595285,0.09486166007905138,25.25,35.75,North americ
H29425,H,298.6,309.1,1423.0,44.3,29,0,No Failure,10.5,6601.41817101272,0.11462450592885376,25.450000000000045,35.950000000000045,North americ
M14872,M,298.6,309.1,1339.0,51.1,34,0,No Failure,10.5,7165.22933257697,0.13438735177865613,25.450000000000045,35.950000000000045,Europe
M14873,M,298.6,309.2,1742.0,30.0,37,0,No Failure,10.599999999999966,5472.6544025534195,0.14624505928853754,25.450000000000045,36.05000000000001,Europe
L47194,L,298.6,309.2,1895.5,19.6,40,0,No Failure,10.599999999999966,3890.527398254576,0.15810276679841898,25.450000000000045,36.05000000000001,Asia-Pacific
L47195,L,298.6,309.2,1542.0,48.4,42,0,No Failure,10.599999999999966,7815.528539894543,0.16600790513833993,25.450000000000045,36.05000000000001,Asia-Pacific
M14876,M,298.6,309.2,1311.0,46.6,44,0,No Failure,10.599999999999966,6397.602111623327,0.17391304347826086,25.450000000000045,36.05000000000001,Europe
M14877,M,298.7,309.2,1410.0,45.6,47,0,No Failure,10.5,6733.0613751736455,0.1857707509881423,25.55000000000001,36.05000000000001,Europe
H29432,H,298.8,309.2,1306.0,54.5,50,0,No Failure,10.399999999999977,7453.6380101520235,0.1976284584980237,25.650000000000034,36.05000000000001,North americ
M14879,M,298.9,309.3,1632.0,32.5,55,0,No Failure,10.400000000000034,5554.3358115467545,0.21739130434782608,25.75,36.150000000000034,Europe
H29434,H,298.9,309.3,1375.0,42.7,58,0,No Failure,10.400000000000034,6148.3586224630235,0.22924901185770752,25.75,36.150000000000034,North americ
